host_id,host_name,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count
593115,LuLu,95,2018-05-26,0.96,1
2248897,Roberta,70,2019-06-28,0.75,1
585458,Paul,35,2019-01-03,0.36,1
599354,Bobby,0,N/A,0.0,1
138069,Itamar,50,2019-07-02,0.51,1
262812,Vikram,29,2019-06-23,0.31,1
611716,Elizabeth,23,2016-05-02,0.23,2
617990,Christopher,142,2019-06-16,1.44,2
622460,Justin,70,2019-07-01,0.73,1
622855,Rodney,38,2019-06-03,0.54,2
627217,Seith,403,2019-07-07,4.1,3
620288,Eric,3,2014-11-06,0.03,1
23276,Katharine,3,2014-08-04,0.03,1
275563,Lauren,175,2019-07-07,1.79,1
85330,Jean,28,2019-07-01,1.21,3
651390,Catherine,24,2017-12-26,0.25,1
507186,Holly,15,2016-06-06,0.15,1
653405,Tracy,105,2019-06-06,1.07,1
652842,Giovanni,22,2019-05-30,0.38,1
663764,Karen,263,2019-06-24,2.69,2
663879,Christopher,86,2019-06-20,0.91,2
665013,Jeff,10,2017-01-01,0.1,1
663384,Irena,18,2019-05-27,0.21,1
674970,Michael,8,2018-07-08,0.21,1
680818,Jessica,70,2019-01-31,0.73,1
622866,Daniel,150,2019-07-05,1.55,1
683975,Ivy,115,2017-05-25,1.18,1
686147,Dave,69,2019-05-26,0.71,1
686768,Mark,232,2019-06-22,2.41,1
687361,Orna,35,2018-01-13,0.41,1
689661,Allison,18,2013-10-01,0.21,1
630453,Vanessa,68,2019-06-10,0.69,1
277747,Josh,22,2014-11-10,0.23,1
616825,Rinaldo,17,2019-05-18,0.17,1
299755,Jonathan,34,2016-01-05,0.58,1
404424,Oliver,8,2014-06-06,0.08,1
703156,Kristin,0,N/A,0.0,1
706418,Carolyn,2,2018-07-06,0.08,1
709434,Meighan,52,2019-04-27,0.72,1
709334,Julie,74,2019-06-16,0.76,2
715807,John,18,2013-05-31,0.19,1
716064,Mihalis,72,2019-05-11,0.86,1
718349,B.,191,2019-06-29,2.18,1
720320,Nancy,0,N/A,0.0,1
716306,"Dee, Dre & Mama Shelley",197,2019-06-23,2.49,1
726333,Peter,19,2019-07-06,0.2,1
722320,Gladys & Bob,414,2019-07-03,4.34,1
216191,M,8,2018-12-11,0.09,4
731855,Wendy,0,N/A,0.0,1
731904,Ewelina,25,2019-02-12,0.3,1
732535,William,203,2019-07-06,2.14,3
733894,Lucy,53,2018-11-16,0.55,3
737585,Pat,104,2019-06-16,1.09,1
739499,Donna,175,2019-06-28,1.8,1
745069,Kimberly,38,2018-05-08,0.42,3
656841,Meredith,39,2019-05-02,0.5,1
757166,Tokunbo,88,2019-06-16,0.91,1
758441,Fred,27,2017-10-08,0.28,4
573065,Laura,117,2019-06-29,1.28,1
759583,Pepe,43,2019-05-20,0.44,2
762563,Lennny & Megan,4,2015-03-13,0.05,1
465589,Amia,385,2019-06-29,4.0,1
759883,Kaye,37,2019-07-03,1.79,1
769247,Ligia,10,2019-01-01,0.12,1
770831,James,103,2019-06-24,1.08,1
772300,Alain,3,2014-08-31,0.03,1
1856604,"Robert ""Bob""",227,2019-06-26,2.33,1
776490,Andres,37,2018-12-27,0.79,1
776645,Placid,29,2019-06-28,0.35,1
242506,Jsun,205,2017-12-31,2.31,3
781647,Jorin,42,2019-06-03,0.44,2
69439,Jade,54,2019-06-16,0.56,1
787273,Smadar,7,2018-08-29,0.07,1
791287,Giancarlo,188,2018-08-23,1.94,1
792159,Wanda,480,2019-07-07,6.7,1
793620,Yvette,34,2019-06-15,0.35,1
795640,Jilly,6,2015-08-08,0.06,1
795889,Adam,2,2014-08-31,0.03,1
789257,Barbara,129,2019-06-07,1.33,1
800982,Chris,147,2019-06-30,1.6,1
720558,Sara,101,2019-07-01,1.06,1
803086,Benton,11,2016-01-02,0.12,2
747698,Linda & Chris,11,2013-10-15,0.12,1
805344,Alec,41,2019-06-16,0.43,2
806112,Julia,87,2017-04-18,1.09,1
806214,Vanessa,117,2019-05-21,1.21,1
806774,Ali & SweetPea,86,2019-05-16,0.89,2
807642,Jeffrey,0,N/A,0.0,2
812814,Lena,15,2016-02-15,0.16,1
302772,Cheryl,3,2016-02-15,0.04,2
826192,Lewis,168,2019-07-06,4.6,1
826459,Jane,241,2019-06-24,2.49,1
829652,Donna,105,2019-06-23,1.13,1
833926,Kris,11,2018-10-28,0.46,1
836168,Henry,30,2018-05-05,0.33,11
842125,Jennifer,31,2018-10-23,0.32,1
844862,Cj,49,2019-05-07,0.51,2
846309,Dani,23,2019-04-13,0.24,1
848748,Sarah,20,2019-06-24,0.21,2
848960,Amit,18,2019-06-24,0.9,1
849492,Kathrine,90,2019-06-23,0.95,1
21475,Milan,99,2019-06-27,1.04,1
864735,Jason,21,2018-12-01,0.22,8
872121,Rosario,111,2019-06-02,1.17,1
39260,Mat,86,2019-06-20,0.91,1
872805,Mike,66,2019-04-29,0.69,2
873273,Christian & Carla,271,2019-06-20,2.84,2
876054,Obed,227,2019-06-18,2.4,1
889106,Lisa,80,2019-07-06,1.55,1
871727,Village,5,2018-12-03,0.07,1
279078,Andrew & Markus,187,2019-06-10,1.97,2
904833,Daniel,2,2015-08-28,0.02,1
906200,Mariana,1,2016-01-01,0.02,1
909146,Mj,67,2018-10-20,0.7,1
909234,Leslie,63,2018-01-12,0.68,1
179020,Michael,89,2019-07-01,1.0,1
912541,David,1,2014-04-20,0.02,1
489400,O'Dell,177,2019-06-29,1.86,1
915640,Sundiata,90,2019-06-30,0.94,1
918866,Marina,39,2019-07-07,0.41,1
920542,Farrah,42,2019-05-18,0.44,1
922922,Karen,33,2019-05-08,0.35,1
874471,Alan,179,2019-05-29,2.02,1
923915,Matthew,81,2019-03-28,0.85,2
936114,Marcela,43,2019-06-29,0.45,2
302936,Melody,52,2018-10-31,0.54,1
938056,Mike,160,2019-06-25,1.68,1
48599,Anastasia,23,2018-05-21,0.27,2
936830,Elina,35,2017-06-18,0.37,1
940724,Susan,225,2019-06-12,2.35,1
949221,Dennis,401,2019-07-04,6.62,2
304493,Erika,46,2018-12-30,0.97,1
953279,Tim,83,2019-06-23,1.19,1
953565,Vanessa,15,2015-06-14,0.16,1
960836,Vlad,122,2019-06-23,1.29,1
964482,Colin,295,2019-06-12,3.9,2
289135,Toni,207,2019-07-07,2.18,1
971075,Jabari,50,2019-03-30,0.65,2
973438,Susanne,273,2019-06-24,2.85,1
933378,Edo,0,N/A,0.0,1
568325,Simone,25,2018-04-30,0.26,1
988350,Andrea,105,2019-05-11,1.62,1
918087,Kestrel,72,2016-12-26,0.76,3
1000477,Elizabeth,8,2016-09-18,0.08,1
903686,Melanie,8,2015-09-17,0.09,1
1007558,Welcome To My Place,330,2019-06-20,7.14,1
1010242,Zora & Chris,123,2019-06-11,1.29,1
1011426,Danielle,55,2019-04-30,0.59,1
1012691,Tiffaney,87,2019-07-03,0.99,1
12221,Lori,258,2019-06-25,2.7,2
1014639,Brett,4,2018-08-27,0.18,1
1017473,Evan,31,2019-05-26,0.33,1
1018472,Angus,128,2016-11-15,1.34,2
1024355,Martina,14,2015-08-31,0.15,1
1029021,Jameelah,30,2019-06-24,0.32,3
1031148,Iulia,258,2019-05-28,2.9,1
272730,Goldi,60,2019-07-01,0.65,1
666271,Susan,9,2019-06-30,0.2,1
1094178,Jeremy,179,2019-06-19,1.88,1
1096084,Daniel,9,2016-06-23,0.1,1
293130,Meli,1,2019-04-21,0.37,1
800223,Nader,25,2018-08-29,0.49,1
1109658,Carmel,2,2018-02-08,0.05,1
1112560,Mary,152,2019-06-25,1.6,3
1114587,Keenan & Emily,45,2019-04-22,0.47,3
1121193,Samuel,7,2018-11-14,0.08,1
1129218,Orlando,19,2019-06-03,0.35,1
447754,Yana,24,2019-01-19,0.26,1
1138692,Keera (Jena),29,2015-06-03,0.31,2
1139574,Carmel,33,2019-05-25,0.38,1
921500,Boubacar And Pattee,99,2019-02-28,1.04,1
1144415,Lisa,142,2019-06-16,1.5,1
846050,Eziah,0,N/A,0.0,1
1146744,Deborah,22,2019-03-15,0.23,1
4887492,Gershwyn,82,2019-05-21,0.87,2
1153993,Anton,32,2019-05-08,0.34,1
1164642,Rosalynn,24,2019-06-23,0.25,1
1165231,Deirdre,59,2018-10-26,0.63,2
991380,Stefania,18,2018-07-05,0.21,1
1173599,Gaya,3,2018-12-26,0.03,1
1177497,Jessica,164,2019-07-01,1.73,11
1177947,Marina,76,2019-06-13,0.8,1
815977,Ryan,116,2019-06-30,1.23,2
1187935,Daniel,120,2019-06-24,1.27,1
1191142,Lady Jay,82,2019-05-18,0.87,1
1192424,Gordon,13,2019-05-26,0.15,1
1192610,Raven,59,2019-06-24,0.64,1
1194377,Marceline,63,2019-06-26,1.87,1
1190088,Tim,52,2018-08-14,0.55,1
1097545,Carol,278,2019-07-03,2.95,3
507304,Derrick,1,2012-01-02,0.01,1
1203500,Civan,35,2019-06-09,0.4,1
1207399,Mark,109,2015-10-02,1.15,1
1184442,Roberto,1,2013-07-09,0.01,1
1217241,Dee,305,2019-06-27,3.24,1
763420,Selma,102,2019-06-18,1.52,1
1220414,Michael,83,2019-05-31,0.88,1
1012895,Melody,19,2018-07-31,0.25,1
1223568,Tiffany,61,2019-05-18,0.65,1
902054,William,89,2019-06-30,0.94,1
1229984,John,65,2017-07-31,0.74,3
1234405,Bertie,40,2019-06-16,0.44,1
1236070,Dan,136,2019-06-19,1.45,1
1236817,Blue,100,2018-05-28,1.06,1
1240820,Triny,125,2019-07-06,1.36,3
4166168,Nick And Noémie,40,2019-04-14,0.5,1
1151987,Juvie,0,N/A,0.0,1
1146958,Liz,139,2019-04-28,1.59,4
1243192,Jacqueline,0,N/A,0.0,1
65064,Ashley & Nir,2,2014-10-06,0.03,1
1256874,Nancy,49,2019-06-26,0.53,1
1257309,Austin,8,2018-05-18,0.11,1
1257760,Jay,0,N/A,0.0,1
136962,Li,124,2019-05-25,1.32,1
1258363,Todd,5,2018-12-19,0.12,1
1263176,Joseph,147,2019-06-30,1.57,1
1264655,Ruari,8,2019-01-03,0.33,1
1269455,Mike,37,2019-01-02,0.39,1
1273825,Lauryn,24,2019-01-01,0.29,1
1276497,Alon,5,2017-07-09,0.05,1
288711,Andy,242,2019-04-01,2.59,1
714200,Baron,229,2019-06-21,2.45,1
1260921,Victor,108,2019-06-19,1.36,2
1288460,Al-,181,2019-06-05,1.92,1
825022,Jaidev,34,2019-07-01,0.39,1
283604,Shelley,5,2016-10-02,0.05,1
1292250,Jerry,5,2015-08-17,0.06,1
3647,Rafael,60,2019-06-25,0.64,2
936630,Jens,238,2019-06-23,2.59,1
605463,West Village,131,2019-06-24,1.4,4
1306587,Andy,6,2017-06-28,0.16,1
1307773,Karina,4,2015-07-03,0.06,1
1311398,Ben,125,2019-07-07,3.04,1
945499,Kyle,0,N/A,0.0,1
1311870,Christy,49,2014-12-03,0.58,1
1313306,Yvette,11,2017-09-25,0.12,2
1314834,Rhona,107,2019-05-23,1.15,1
1278802,Anne,241,2019-06-29,2.6,1
1317343,Carol,176,2019-06-29,1.89,1
1325961,Chris,49,2018-08-09,0.53,2
552343,Cynthia,13,2018-09-01,0.14,1
1331493,Olia,2,2015-06-25,0.04,1
1331850,G,16,2019-06-28,0.23,1
1332108,Cici,72,2018-11-26,0.77,1
1267021,Sharma,56,2019-07-06,0.66,3
1336542,Stephanie,2,2014-01-13,0.03,1
1340007,Roger,178,2019-06-24,2.69,1
1302029,Bree,30,2019-05-31,0.8,1
1343630,Antonio,190,2019-06-23,2.04,1
506779,Claudia,25,2019-06-30,0.27,2
1346437,Cristina,81,2019-05-31,0.98,2
1347034,Janine,7,2019-06-22,0.08,1
1348494,Pamela,216,2019-07-01,2.31,1
315401,Jaime,31,2019-01-28,0.33,1
1123923,Adolfo,53,2017-08-12,0.57,2
1356046,Daniel,247,2019-06-21,2.65,2
1358312,S,233,2019-04-10,2.5,1
1354758,Annie,135,2019-06-24,1.45,1
1233267,Kim,20,2015-12-30,0.23,1
436599,Chad,46,2019-06-02,0.5,1
1359611,Andrea,10,2014-10-26,0.12,1
1360043,Adrienne,143,2018-06-30,2.83,1
1360198,Marina,21,2019-05-22,0.26,4
480943,Ro,314,2019-07-01,3.45,2
696482,Christine,18,2019-06-18,0.25,1
1370358,Keiko,11,2015-05-27,0.12,1
568103,Liah,51,2019-06-02,0.55,1
1372786,Lindsey,20,2017-04-01,0.33,1
1359519,Nadya,8,2017-12-30,0.12,1
1376385,Lauren,59,2019-06-06,0.63,1
1376778,Wade,54,2019-06-24,0.62,1
535128,Juliana,10,2018-12-31,0.46,1
1380060,Marisa And Colin,110,2019-06-02,1.2,1
1020539,Dominique,69,2019-01-01,0.91,2
1381171,Nicole,1,2019-01-27,0.18,1
1382749,Shaun,24,2015-08-19,0.26,1
1384111,Joanne,95,2019-01-02,1.02,2
1384559,C,129,2019-04-28,1.41,1
