listing_id,host_id,neighbourhood,listing_name,room_type,price,minimum_nights,availability_365
15711,61491,Upper East Side,2 bedroom - Upper East Side-great for kids,Entire home/apt,250,2,231
16326,63588,Prospect Heights,Comfortable 4-bedroom apt in family house.,Entire home/apt,200,30,297
16338,63613,Clinton Hill,Double Room w Private Deck Clinton Hill Best Area,Private room,55,7,292
16421,63924,Hell's Kitchen,Your Heaven in Hells Kitchen,Private room,52,30,191
16458,64056,Park Slope,Light-filled 2B duplex in the heart of Park Slope!,Entire home/apt,225,3,0
16580,64442,East Village,"Sunny, Modern room in East Village!",Private room,80,1,72
16595,64522,Williamsburg,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,275,1,362
16821,4396,East Village,Large Room in Amazing East Village Apt,Private room,99,1,336
16974,65837,East Harlem,SpaHa Loft: Enormous and Bright,Entire home/apt,225,4,215
17037,66035,East Village,Lovely EV Artist's Home,Entire home/apt,230,9,116
17092,66243,Hell's Kitchen,Cool Room in Hell's Kitchen,Private room,51,7,88
17693,68428,Washington Heights,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,65,2,336
17747,68599,Clinton Hill,BLUE TRIM GUEST HOUSE,Private room,105,2,304
18127,69829,East Village,Charming East Village One Bedroom Flat,Entire home/apt,190,5,224
18152,69942,Upper East Side,Manhattan Room,Private room,200,1,322
18198,70091,Woodside,Little King of Queens,Private room,70,30,324
18590,71512,Fort Greene,Fort Greene Retreat on the Park,Private room,95,3,132
18728,71876,Chelsea,Beautiful Meatpacking District Loft,Private room,150,3,295
18764,72014,Williamsburg,Cozy 2 BR in Williamsburg ,Private room,145,3,238
19159,73051,Harlem,Spacious luminous apt Upper West NYC,Entire home/apt,110,31,209
19169,73128,Lower East Side,Entire 2 Bedroom - Large & Sunny,Entire home/apt,285,5,328
19282,73469,Flatbush,"Sunny, Spacious Top Floor Haven",Entire home/apt,130,6,38
19319,44263,Lower East Side,Private room Great Deal at Lower East Side,Private room,94,30,188
19601,74303,Brooklyn Heights,perfect for a family or small group,Entire home/apt,800,1,7
19812,74857,Williamsburg,2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,105,3,272
20299,62407,East Village,Oh glorious spring!,Private room,60,3,26
20300,76627,East Village,Great Location for NYC,Private room,50,1,0
20611,72014,Williamsburg,Cozy Bedroom in Williamsburg 3 BR,Private room,85,3,288
20724,961342,Bushwick,Sunny room+Pvte office in huge loft,Private room,65,4,317
20734,78460,Prospect Heights,Spacious Prospect Heights Apartment,Entire home/apt,131,4,207
20755,51038,Clinton Hill,"Large Parlor Room, Landmark Home 1 block to PRATT",Private room,98,7,185
20853,79070,Prospect Heights,2-bed brownstone duplex + garden,Entire home/apt,250,7,158
20913,79402,Williamsburg,Charming 1 bed GR8 WBurg LOCATION!,Entire home/apt,100,5,0
21293,44145,Bushwick,Sunny Apartment in Artist Home,Entire home/apt,105,3,9
21456,42032,Upper West Side,Light-filled classic Central Park ,Entire home/apt,140,3,198
21644,82685,Harlem,"Upper Manhattan, New York",Private room,89,1,365
21794,83257,Chelsea,COZY QUIET room 4 DOOGLERS!,Private room,98,30,364
22911,87773,Bedford-Stuyvesant,The Stuydio Modern and Light Filled,Entire home/apt,125,7,311
22918,32294,Harlem,loft bed - near transportation-15min to times sq,Private room,60,3,219
23135,11481,Carroll Gardens,House On Henry (3rd FLR Suite),Entire home/apt,175,2,342
23501,63318,Washington Heights,Monkey Retreat Manhattan,Private room,65,2,312
23686,93790,West Village,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,500,4,243
24143,97219,Williamsburg,"Williamsburg—Steps To Subway, Private Bath&Balcony",Private room,101,3,152
24285,97797,Park Slope,Beautiful Duplex Apartment,Entire home/apt,220,30,9
25235,87773,Bedford-Stuyvesant,Large 2 Bedroom Great for Groups!,Entire home/apt,125,90,137
25406,105538,Williamsburg,"Modern Brooklyn Apt., August sublet",Entire home/apt,80,30,222
25696,107628,Harlem,"1,800 sq foot in luxury building",Private room,100,2,346
26012,109589,Gowanus,Sunny 2-story Brooklyn townhouse w deck and garden,Entire home/apt,200,30,208
26362,59734,Hell's Kitchen,"Times Square, Safe, Clean and Cozy!",Private room,59,2,279
26520,51038,Clinton Hill,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,125,2,250
26559,112793,East Village,Beautiful Apartment East Village,Entire home/apt,140,7,164
26785,42273,South Slope,Park Slope Green Guest House,Entire home/apt,120,30,192
26933,72062,East Village,2 BR / 2 Bath Duplex Apt with patio! East Village,Entire home/apt,350,2,298
26954,115157,Kips Bay,NYC fabulous views Manhattan's eye,Entire home/apt,199,5,260
26969,115307,Williamsburg,2 story family home in Williamsburg,Entire home/apt,325,3,107
27006,115560,Upper West Side,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt,235,6,199
27385,72062,East Village,Great Large 1 BR apt  in East Village!,Entire home/apt,225,1,299
27531,118971,South Slope,Eveland Private Bed & Living Room w/ Own Entrance,Private room,99,2,20
27644,119510,Harlem,Sugar Hill Rest Stop ,Entire home/apt,170,2,318
27659,119588,South Slope,3 Story Town House in Park Slope,Entire home/apt,400,2,216
27759,119900,Upper West Side,apartment next to Central park,Entire home/apt,170,7,224
27883,120223,East Village,East Village Sanctuary,Entire home/apt,100,4,0
28321,65091,Prospect-Lefferts Gardens,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Private room,75,2,324
28396,6197784,Williamsburg,Modern Apt with Spectacular Views,Private room,90,1,245
28907,124352,Upper East Side,Garden studio in the Upper East Sid,Entire home/apt,150,5,189
29012,124797,Washington Heights,Secluded Master Bedroom in Beautiful Huge Apt,Private room,85,15,307
29013,35935,Bedford-Stuyvesant,B & B Room 1,Private room,70,3,310
29455,126607,Harlem,ACCOMMODATIONS GALORE #1,Entire home/apt,120,3,213
29628,127608,Clinton Hill,Sunny Room in New Condo,Private room,89,3,278
29683,125857,East Village,Stylish & Sleek Apartment Near SoHo!,Entire home/apt,185,5,209
30031,129352,Greenpoint,NYC artists’ loft with roof deck,Private room,50,3,0
30927,120335,Lower East Side,Unique & Charming small 1br Apt. LES,Entire home/apt,105,3,16
31130,117287,Hell's Kitchen,Most Central Location!,Private room,130,2,234
31555,135619,West Village,Luminous Beautiful West Village Studio,Entire home/apt,115,29,12
31902,137292,Flatlands,Sanctuary in East Flatbush,Private room,77,2,178
31994,137814,Clinton Hill,Room with En Suite Bathroom & Deck,Private room,76,2,275
32023,137974,Bedford-Stuyvesant,FLAT MACDONOUGH,Entire home/apt,125,3,163
32037,116599,Clinton Hill,Huge Private  Floor at The Waverly,Private room,135,4,365
32100,138579,Greenpoint,"Modern Greenpoint, Brooklyn Apt",Entire home/apt,250,29,34
32289,139612,Williamsburg,"Sun-drenched, artsy modernist 1 BDRM duplex",Entire home/apt,199,3,280
32331,139874,Cobble Hill,"Sunny, Cobble Hill Apartment",Entire home/apt,140,2,0
32363,140025,Flushing,Fully Furnished Basement Apartment,Private room,140,2,1
32965,137974,Bedford-Stuyvesant,FLAT MACDONOUGH GARDEN,Entire home/apt,115,3,170
32969,142833,Williamsburg,Light filled Williamsburg Apartment,Entire home/apt,160,3,188
33009,143027,Williamsburg,Retreat in Williamsburg,Entire home/apt,195,4,214
33014,143048,East Village,NYC Zen,Entire home/apt,195,3,248
33223,72014,Williamsburg,Cozy BR in Wiliamsburg 3 Bedroom,Private room,80,3,262
34760,149929,Fort Greene,Sunny Room in Old Historical Brooklyn Townhouse,Private room,44,8,280
35526,120291,West Village,Sun Filled Classic West Village Apt,Private room,156,4,307
36121,62165,Prospect Heights,Lg Rm in Historic Prospect Heights,Private room,85,15,339
36133,142684,Williamsburg,Classic Artist Loft Williamsburg,Private room,125,3,1
36442,137432,Prospect Heights,Great location. Spacious on PROSPECT PARK,Entire home/apt,115,15,269
36647,157798,East Harlem,Private Bdrm/Bathrm. New! Elevator!,Private room,69,2,10
36703,158284,West Village,"Sunny, clean 1 bdrm in W. Village",Entire home/apt,225,45,312
36934,159370,Williamsburg,Great location in Williamsburg,Entire home/apt,125,6,189
38638,92788,Upper East Side,Light and Airy Upper East Side 1 BDR apartment,Entire home/apt,219,4,290
38663,165789,Boerum Hill,Luxury Brownstone in Boerum Hill,Entire home/apt,475,3,230
39267,168417,Upper East Side,CENTRAL PARK LOFT all for YOU,Entire home/apt,99,1,164
39282,168525,Williamsburg,Indie-Chic Share In Williamsburg,Private room,69,4,53
39593,110506,Sunnyside,"A room w/ a Manhattan view, longer stay",Private room,79,30,126
39704,170510,Bedford-Stuyvesant,"Private, Large & Sunny 1BR w/W&D",Entire home/apt,135,2,3
40039,171851,DUMBO,Luxurious Condo in DUBMO with View,Private room,250,3,189
40453,174025,Upper East Side,Charming & Cozy midtown loft any WEEK ENDS  !!!,Entire home/apt,250,3,365
41348,180083,Gowanus,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,250,2,0
41513,181167,Harlem,Convenient cozy cheap apt Manhattan,Entire home/apt,80,3,0
42580,137814,Clinton Hill,Parlor Room In Victorian Townhouse,Private room,70,2,336
42729,11481,Carroll Gardens,House On Henry (2nd FLR Suite),Entire home/apt,165,2,342
42882,185978,St. George,New York room with a view,Private room,70,2,312
43957,177536,Bushwick,Sunny cozy room in Brklyn townhouse,Private room,50,2,37
44096,190409,Highbridge,Room with a View,Private room,40,1,353
44161,193360,Williamsburg,Light+Open+Airy+Rustic+Modern Loft,Entire home/apt,150,2,177
44212,72062,East Village,West Inn 2 - East Village,Private room,125,1,310
44221,193722,Financial District,Financial District Luxury Loft,Entire home/apt,196,3,0
44229,181376,Fort Greene,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,110,2,321
44288,193637,West Village,Your own Lovely West Village Studio,Entire home/apt,170,3,246
44506,126607,Harlem,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt,165,3,231
45393,201297,West Village,Greenwich Village Stylish Apartment,Entire home/apt,150,26,225
45542,202249,Harlem,Clean and Cozy Harlem Apartment,Entire home/apt,100,2,0
45556,67778,Fort Greene,"Fort Greene, Brooklyn: Center Bedroom",Private room,65,2,0
45910,204539,Ridgewood,Beautiful Queens Brownstone! - 5BR,Entire home/apt,350,8,365
45936,867225,Morningside Heights,Couldn't Be Closer To Columbia Uni,Private room,99,4,233
45940,204724,Williamsburg,Bright Spacious Luxury Condo,Entire home/apt,200,4,1
46544,8198,Park Slope,Park Slope haven 15 mins from Soho,Entire home/apt,150,5,18
46723,209460,Bedford-Stuyvesant,SAFE  AND BEAUTIFUL ACCOMODATION,Private room,90,3,343
46911,210746,Prospect Heights,Large Room in private Brownstone in Park Slope,Private room,120,3,250
47199,212722,Upper East Side,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,75,3,326
47362,214148,Bedford-Stuyvesant,"LARGE, COMFY 1BDR W/CHARACTER!!!",Entire home/apt,175,26,364
47370,214287,Chelsea,Chelsea Studio sublet 1 - 2 months,Entire home/apt,125,3,0
47926,218404,Hell's Kitchen,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt,275,1,299
48719,221873,Lower East Side,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,299,2,207
50447,9744,South Slope,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,135,5,162
51438,236421,Upper East Side,1 Bedroom in 2 Bdrm Apt- Upper East,Private room,130,14,0
51485,236655,Lower East Side,Lower East Side $57~/night,Private room,83,1,7
51572,237329,Chelsea,Prime Location in Manhattan,Private room,123,1,328
51850,27848,Jamaica,( F) Excellent/Pvt Rm,Private room,55,2,365
53137,240360,Hell's Kitchen,"Quiet, sunny Midtown Manhattan apt.",Entire home/apt,195,5,0
53196,247432,Bedford-Stuyvesant,Big Room/Washer-Dryer/Wifi/AC/JMZ,Private room,80,2,0
53469,204539,Middle Village,cozy studio with parking spot,Entire home/apt,98,30,240
53470,204539,Ridgewood,Clean and convenient 2BR apartment,Private room,140,7,365
53477,204539,Middle Village,3 floors of luxury!,Entire home/apt,265,7,365
54158,10889,Williamsburg,The Institute—Heart of Williamsburg,Entire home/apt,249,2,164
54453,255583,Hell's Kitchen,MIDTOWN WEST - Large alcove studio,Shared room,105,6,363
54466,253385,Harlem,Beautiful Uptown Manhattan apartmnt,Private room,200,30,365
54508,210746,Prospect Heights,Sml Rm in pr Brst  Park Sl great for Med/students,Private room,100,2,250
54544,256161,Harlem,City Room - Private Penthouse Apt.,Entire home/apt,121,1,247
54626,190409,Highbridge,Cozy bedroom by Yankee Stadium,Private room,45,1,323
54860,258164,East Harlem,Great apartment with private bathroom and entrance,Private room,100,5,192
55467,260709,Williamsburg,Private Garden Apt • New Renovation,Entire home/apt,140,2,125
55498,262138,Bedford-Stuyvesant,Modern comfort in art infused landmark Brownstone,Private room,71,2,91
55668,88209,NoHo,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Private room,130,2,75
55737,263414,West Village,Sleek & Comfortable Soho Apt,Entire home/apt,199,5,286
55959,168525,Williamsburg,Spacious Williamsburg Share w/ LOFT BED,Private room,69,4,60
55982,264928,Fort Greene,Cozy 2 br in sunny Fort Greene apt,Private room,68,3,0
56467,267593,East Village,Cozy East Village Railroad 1 Bed!,Entire home/apt,130,1,192
56525,268014,Greenpoint,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,195,2,58
56859,256161,Harlem,City Room - Private & Comfy Bedroom,Private room,64,1,245
57166,272006,Ditmars Steinway,Elegant NYC Pad,Entire home/apt,140,2,292
57297,199392,Cobble Hill,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,159,2,279
57468,239208,East Village,"Modern, Large East Village Loft",Entire home/apt,189,3,0
57618,274557,Hell's Kitchen,"Great new apt, close to everything",Entire home/apt,250,3,3
57740,275459,East Village,Quiet & Clean Retreat in the City,Entire home/apt,239,3,351
57754,275578,Flatiron District,Stylish Large Gramercy Loft!,Entire home/apt,305,2,201
57874,276291,Harlem,The Brownstone-Luxury 1 Bd Apt/NYC,Entire home/apt,155,3,232
58059,277379,Harlem,PRIVATE Room on Historic Sugar Hill,Private room,60,1,258
58062,277394,Windsor Terrace,South Slope Green,Private room,135,2,272
58467,279797,Roosevelt Island,"17 Flr. Manhattan Views, Nr. Subway",Private room,120,7,341
59014,282927,Lower East Side,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt,150,3,244
59121,204539,Ridgewood,"Nice, clean, safe, convenient 3BR",Entire home/apt,140,14,365
59642,274782,Greenpoint,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt,135,2,12
59709,186084,Chinatown,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Entire home/apt,250,4,265
59855,288031,Midtown,One bedroom Apt. in NYC,Entire home/apt,250,30,0
60164,289653,SoHo,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt,500,4,329
60457,99212,Greenwich Village,Spacious Greenwich Village Apt,Entire home/apt,225,5,91
60611,292204,East Harlem,SpaHa Studio Monthly Rental,Entire home/apt,125,28,365
60666,256161,Harlem,City Room - Private Luxury Suite,Private room,92,1,253
60673,249372,Harlem,Private Room/bath Luxurious Harlem,Private room,175,2,365
60680,292630,East Village,The gem of the East Village,Entire home/apt,99,2,320
60794,293394,Upper West Side,"Bright and spacious, garden below!",Entire home/apt,195,4,0
60948,126607,East Harlem,ACCOMMODATIONS GALORE #2,Entire home/apt,140,3,192
61167,295760,Little Italy,Colorful Private One Bedroom Apt,Entire home/apt,135,2,0
61224,291112,Chelsea,Huge Chelsea Loft,Entire home/apt,500,2,348
61406,297176,Harlem,Great room in great location,Private room,80,14,0
61492,297769,Chinatown,Exclusive Room with Private Bath in  LES,Private room,120,4,353
61509,23619,Midtown,"Quiet, clean midtown apt w. elevato",Entire home/apt,110,200,140
62095,281764,East Flatbush,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt,65,3,2
62427,303882,East Village,Great East Village Apartment Rental,Entire home/apt,130,50,56
62430,197755,Bushwick,BROWNSTONE SUNDRENCHED BEAUTY,Entire home/apt,99,3,68
62452,303939,Tompkinsville,A SpeciaL!! Private Room in NY,Private room,36,2,360
62461,303939,Tompkinsville,B NYC Staten Alternative...,Private room,37,2,0
62787,303939,Tompkinsville,C Private Room By The Ferry,Private room,37,2,320
62891,306545,East Village,Smallest House In The Village,Entire home/apt,175,3,326
62903,306605,Chelsea,Beautiful modern studio apartment in heart of NYC,Entire home/apt,205,9,76
62925,306739,Greenpoint,Beautiful Landmarked Duplex,Entire home/apt,285,3,279
63299,308875,Williamsburg,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Private room,59,2,15
63320,303939,Tompkinsville,D Private Che@p Room 2 Explore NYC,Private room,36,2,340
63360,307962,Astoria,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt,99,5,226
63546,308652,Kensington,Large and Cozy Private Bedroom,Private room,39,1,365
63573,310458,Park Slope,Small tidy bedroom in duplex,Private room,60,14,0
63588,295128,Clason Point,LL3,Private room,90,2,349
63610,310670,Eastchester,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt,105,2,365
63657,170510,Bedford-Stuyvesant,"Private, Large & Sunny Top Floor Apt  w/W&D",Entire home/apt,135,2,11
63693,306545,East Village,Cottage in the Village,Entire home/apt,390,5,316
63719,311286,Bedford-Stuyvesant,BEDROOM1 FOR RENT 10min from Manhan,Private room,70,3,281
63913,312288,Inwood,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",Private room,75,7,323
64000,312722,Williamsburg,Williamsburg near soho. / loftbed,Private room,60,17,362
64015,146944,East Village,Prime East Village 1 Bedroom,Entire home/apt,200,3,0
64107,313317,Crown Heights,BROOKLYN  STUDIO APARTMENT,Private room,100,3,301
64277,311286,Bedford-Stuyvesant,BEDROOM2 FOR RENT  10min from Manh,Private room,70,4,189
64314,314256,Crown Heights,cozy bedroom in lovely garden apt,Private room,110,6,0
64365,314582,Crown Heights,Crown Heights Garden Apt.,Private room,60,2,287
64707,7310,Little Italy,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt,90,14,14
64837,46978,East Village,ENJOY Downtown NYC!!,Private room,68,2,86
65019,317809,Upper West Side,Charming UWS Treehouse Apt,Entire home/apt,115,2,261
65268,319092,Bedford-Stuyvesant,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,75,5,68
65556,320422,Williamsburg,"Room in S3rd/Bedford, Williamsburg",Private room,60,3,0
65562,320450,East Village,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt,129,7,231
65615,320761,Williamsburg,Farmhouse Apartment in Williamsburg,Entire home/apt,130,10,152
65660,320538,Williamsburg,Bright+Spacious Williamsburg Abode!,Entire home/apt,95,4,46
65813,321756,Harlem,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Private room,75,3,364
65834,321934,Park Slope,Beautiful 1 Bedroom Apt Park Slope,Entire home/apt,175,2,246
66008,322884,Carroll Gardens,CHARMING CARROLL GARDENS APT.,Entire home/apt,190,3,288
66026,322716,Crown Heights,Private Bedroom Brownstone Brooklyn,Private room,49,21,331
66251,324460,East Village,East Village Loft with Piano & Patio,Entire home/apt,212,3,51
66275,314941,Lower East Side,Lower East Side Magic Room,Private room,95,1,364
66451,325389,Williamsburg,**Fantastic Williamsburg Apt**,Entire home/apt,140,2,254
66718,136227,Harlem,West Harlem Home Base - Eco-Apt.,Entire home/apt,135,6,189
66741,327673,Park Slope,Charming Garden Apt in Park Slope,Entire home/apt,150,2,263
66974,329436,Gowanus,"Lovely, Modern, Garden Apartment",Entire home/apt,190,3,258
67288,101597,East Harlem,Central Park 1BR sunny condo,Entire home/apt,124,28,103
67299,330347,Williamsburg,Cozy Garden Apartment  in Williamsburg,Entire home/apt,135,30,42
67397,332189,Morningside Heights,SoHa comfort-by NW Central Park!,Private room,122,3,246
68099,323517,Upper West Side,Cozy room in Upper West Side,Private room,109,1,364
68305,338454,Harlem,Cozy Private Room in Apartment,Private room,85,30,318
68403,240427,Bedford-Stuyvesant,The Cozy Brownstone Inn (discount)!,Entire home/apt,145,3,72
68735,342054,Upper West Side,Prewar Penthouse w Private Terrace,Entire home/apt,195,11,249
68765,282655,Carroll Gardens,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt,250,2,272
68900,343250,Greenpoint,Bright Beautiful Brooklyn,Private room,125,3,325
68974,281229,Little Italy,Unique spacious loft on the Bowery,Entire home/apt,575,2,298
69894,352168,Upper West Side,"Nice renovated apt, prime location!",Entire home/apt,150,30,35
69921,155689,Bushwick,Brooklyn Writer's Nook,Private room,70,5,203
70095,353965,Inwood,Private Bedroom in Large NYC Apartment,Private room,90,2,132
70128,354330,East Village,"Large, Sunny Room East Village NYC",Private room,65,3,5
70609,72062,East Village,Great Large 3 BR/2 Bath Duplex with Private Patio!,Entire home/apt,500,2,297
71010,361855,Washington Heights,All That Jazz. Uptown style on Sugar Hill.,Entire home/apt,250,3,276
71248,363834,Chinatown,Bright and lovely 1 bdrm apt in LES,Entire home/apt,125,25,102
71366,364955,West Village,Beautiful One Bed West Village - 4 Month Special,Entire home/apt,200,30,251
71384,365153,Greenpoint,Gigantic Private Brooklyn Loft!,Entire home/apt,229,1,188
71812,369015,Kingsbridge,Condo Apartment with laundry in unit,Entire home/apt,90,30,346
72190,373085,Upper West Side,1BR: See Central Park from Terrace!,Entire home/apt,110,13,0
72265,340692,Greenpoint,Private room in cozy Greenpoint,Private room,59,3,15
74073,211877,Williamsburg,Food & Music Dream Apartment in Williamsburg,Entire home/apt,195,4,71
74240,389924,Williamsburg,French Garden cottage off Bedford,Entire home/apt,169,1,215
74333,331328,East Harlem,Alcove Studio w/ outdoor Patio Deck,Entire home/apt,113,14,253
74404,391325,Harlem,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,Entire home/apt,250,14,78
74680,265109,Astoria,One Bedroom Mini studio - Free WIFI,Entire home/apt,115,2,257
74860,394752,Greenpoint,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Private room,55,2,0
75193,308875,Williamsburg,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,69,2,8
75635,401696,Lower East Side,Bright Cozy Chinatown Studio Apt.,Entire home/apt,150,3,191
76761,118971,South Slope,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,Entire home/apt,169,2,182
