host_name,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_id
Jane,35,2019-06-01,0.35,1,567187
Will,320,2019-06-23,3.23,1,127772
Lilly,30,2019-06-16,0.32,1,585166
LuLu,95,2018-05-26,0.96,1,593115
Roberta,70,2019-06-28,0.75,1,2248897
Paul,35,2019-01-03,0.36,1,585458
Bobby,0,,,1,599354
Itamar,50,2019-07-02,0.51,1,138069
Vikram,29,2019-06-23,0.31,1,262812
Elizabeth,23,2016-05-02,0.23,2,611716
Christopher,142,2019-06-16,1.44,2,617990
Justin,70,2019-07-01,0.73,1,622460
Rodney,38,2019-06-03,0.54,2,622855
Seith,403,2019-07-07,4.1,3,627217
Eric,3,2014-11-06,0.03,1,620288
Katharine,3,2014-08-04,0.03,1,23276
Lauren,175,2019-07-07,1.79,1,275563
Jean,28,2019-07-01,1.21,3,85330
Catherine,24,2017-12-26,0.25,1,651390
Holly,15,2016-06-06,0.15,1,507186
Tracy,105,2019-06-06,1.07,1,653405
Giovanni,22,2019-05-30,0.38,1,652842
Karen,263,2019-06-24,2.69,2,663764
Christopher,86,2019-06-20,0.91,2,663879
Jeff,10,2017-01-01,0.1,1,665013
Irena,18,2019-05-27,0.21,1,663384
Michael,8,2018-07-08,0.21,1,674970
Jessica,70,2019-01-31,0.73,1,680818
Daniel,150,2019-07-05,1.55,1,622866
Ivy,115,2017-05-25,1.18,1,683975
Dave,69,2019-05-26,0.71,1,686147
Mark,232,2019-06-22,2.41,1,686768
Orna,35,2018-01-13,0.41,1,687361
Allison,18,2013-10-01,0.21,1,689661
Vanessa,68,2019-06-10,0.69,1,630453
Josh,22,2014-11-10,0.23,1,277747
Rinaldo,17,2019-05-18,0.17,1,616825
Jonathan,34,2016-01-05,0.58,1,299755
Oliver,8,2014-06-06,0.08,1,404424
Kristin,0,,,1,703156
Carolyn,2,2018-07-06,0.08,1,706418
Meighan,52,2019-04-27,0.72,1,709434
Julie,74,2019-06-16,0.76,2,709334
John,18,2013-05-31,0.19,1,715807
Mihalis,72,2019-05-11,0.86,1,716064
B.,191,2019-06-29,2.18,1,718349
Nancy,0,,,1,720320
"Dee, Dre & Mama Shelley",197,2019-06-23,2.49,1,716306
Peter,19,2019-07-06,0.2,1,726333
Gladys & Bob,414,2019-07-03,4.34,1,722320
M,8,2018-12-11,0.09,4,216191
Wendy,0,,,1,731855
Ewelina,25,2019-02-12,0.3,1,731904
William,203,2019-07-06,2.14,3,732535
Lucy,53,2018-11-16,0.55,3,733894
Pat,104,2019-06-16,1.09,1,737585
Donna,175,2019-06-28,1.8,1,739499
Kimberly,38,2018-05-08,0.42,3,745069
Meredith,39,2019-05-02,0.5,1,656841
Tokunbo,88,2019-06-16,0.91,1,757166
Fred,27,2017-10-08,0.28,4,758441
Laura,117,2019-06-29,1.28,1,573065
Pepe,43,2019-05-20,0.44,2,759583
Lennny & Megan,4,2015-03-13,0.05,1,762563
Amia,385,2019-06-29,4.0,1,465589
Kaye,37,2019-07-03,1.79,1,759883
Ligia,10,2019-01-01,0.12,1,769247
James,103,2019-06-24,1.08,1,770831
Alain,3,2014-08-31,0.03,1,772300
"Robert ""Bob""",227,2019-06-26,2.33,1,1856604
Andres,37,2018-12-27,0.79,1,776490
Placid,29,2019-06-28,0.35,1,776645
Jsun,205,2017-12-31,2.31,3,242506
Jorin,42,2019-06-03,0.44,2,781647
Jade,54,2019-06-16,0.56,1,69439
Smadar,7,2018-08-29,0.07,1,787273
Giancarlo,188,2018-08-23,1.94,1,791287
Wanda,480,2019-07-07,6.7,1,792159
Yvette,34,2019-06-15,0.35,1,793620
Jilly,6,2015-08-08,0.06,1,795640
Adam,2,2014-08-31,0.03,1,795889
Barbara,129,2019-06-07,1.33,1,789257
Chris,147,2019-06-30,1.6,1,800982
Sara,101,2019-07-01,1.06,1,720558
Benton,11,2016-01-02,0.12,2,803086
Linda & Chris,11,2013-10-15,0.12,1,747698
Alec,41,2019-06-16,0.43,2,805344
Julia,87,2017-04-18,1.09,1,806112
Vanessa,117,2019-05-21,1.21,1,806214
Ali & SweetPea,86,2019-05-16,0.89,2,806774
Jeffrey,0,,,2,807642
Lena,15,2016-02-15,0.16,1,812814
Cheryl,3,2016-02-15,0.04,2,302772
Lewis,168,2019-07-06,4.6,1,826192
Jane,241,2019-06-24,2.49,1,826459
Donna,105,2019-06-23,1.13,1,829652
Kris,11,2018-10-28,0.46,1,833926
Henry,30,2018-05-05,0.33,11,836168
Jennifer,31,2018-10-23,0.32,1,842125
Cj,49,2019-05-07,0.51,2,844862
Dani,23,2019-04-13,0.24,1,846309
Sarah,20,2019-06-24,0.21,2,848748
Amit,18,2019-06-24,0.9,1,848960
Kathrine,90,2019-06-23,0.95,1,849492
Milan,99,2019-06-27,1.04,1,21475
Jason,21,2018-12-01,0.22,8,864735
Rosario,111,2019-06-02,1.17,1,872121
Mat,86,2019-06-20,0.91,1,39260
Mike,66,2019-04-29,0.69,2,872805
Christian & Carla,271,2019-06-20,2.84,2,873273
Obed,227,2019-06-18,2.4,1,876054
Lisa,80,2019-07-06,1.55,1,889106
Village,5,2018-12-03,0.07,1,871727
Andrew & Markus,187,2019-06-10,1.97,2,279078
Daniel,2,2015-08-28,0.02,1,904833
Mariana,1,2016-01-01,0.02,1,906200
Mj,67,2018-10-20,0.7,1,909146
Leslie,63,2018-01-12,0.68,1,909234
Michael,89,2019-07-01,1.0,1,179020
David,1,2014-04-20,0.02,1,912541
O'Dell,177,2019-06-29,1.86,1,489400
Sundiata,90,2019-06-30,0.94,1,915640
Marina,39,2019-07-07,0.41,1,918866
Farrah,42,2019-05-18,0.44,1,920542
Karen,33,2019-05-08,0.35,1,922922
Alan,179,2019-05-29,2.02,1,874471
Matthew,81,2019-03-28,0.85,2,923915
Marcela,43,2019-06-29,0.45,2,936114
Melody,52,2018-10-31,0.54,1,302936
Mike,160,2019-06-25,1.68,1,938056
Anastasia,23,2018-05-21,0.27,2,48599
Elina,35,2017-06-18,0.37,1,936830
Susan,225,2019-06-12,2.35,1,940724
Dennis,401,2019-07-04,6.62,2,949221
Erika,46,2018-12-30,0.97,1,304493
Tim,83,2019-06-23,1.19,1,953279
Vanessa,15,2015-06-14,0.16,1,953565
Vlad,122,2019-06-23,1.29,1,960836
Colin,295,2019-06-12,3.9,2,964482
Toni,207,2019-07-07,2.18,1,289135
Jabari,50,2019-03-30,0.65,2,971075
Susanne,273,2019-06-24,2.85,1,973438
Edo,0,,,1,933378
Simone,25,2018-04-30,0.26,1,568325
Andrea,105,2019-05-11,1.62,1,988350
Kestrel,72,2016-12-26,0.76,3,918087
Elizabeth,8,2016-09-18,0.08,1,1000477
Melanie,8,2015-09-17,0.09,1,903686
Welcome To My Place,330,2019-06-20,7.14,1,1007558
Zora & Chris,123,2019-06-11,1.29,1,1010242
Danielle,55,2019-04-30,0.59,1,1011426
Tiffaney,87,2019-07-03,0.99,1,1012691
Lori,258,2019-06-25,2.7,2,12221
Brett,4,2018-08-27,0.18,1,1014639
Evan,31,2019-05-26,0.33,1,1017473
Angus,128,2016-11-15,1.34,2,1018472
Martina,14,2015-08-31,0.15,1,1024355
Jameelah,30,2019-06-24,0.32,3,1029021
Iulia,258,2019-05-28,2.9,1,1031148
Goldi,60,2019-07-01,0.65,1,272730
Susan,9,2019-06-30,0.2,1,666271
Jeremy,179,2019-06-19,1.88,1,1094178
Daniel,9,2016-06-23,0.1,1,1096084
Meli,1,2019-04-21,0.37,1,293130
Nader,25,2018-08-29,0.49,1,800223
Carmel,2,2018-02-08,0.05,1,1109658
Mary,152,2019-06-25,1.6,3,1112560
Keenan & Emily,45,2019-04-22,0.47,3,1114587
Samuel,7,2018-11-14,0.08,1,1121193
Orlando,19,2019-06-03,0.35,1,1129218
Yana,24,2019-01-19,0.26,1,447754
Keera (Jena),29,2015-06-03,0.31,2,1138692
Carmel,33,2019-05-25,0.38,1,1139574
Boubacar And Pattee,99,2019-02-28,1.04,1,921500
Lisa,142,2019-06-16,1.5,1,1144415
Eziah,0,,,1,846050
Deborah,22,2019-03-15,0.23,1,1146744
Gershwyn,82,2019-05-21,0.87,2,4887492
Anton,32,2019-05-08,0.34,1,1153993
Rosalynn,24,2019-06-23,0.25,1,1164642
Deirdre,59,2018-10-26,0.63,2,1165231
Stefania,18,2018-07-05,0.21,1,991380
Gaya,3,2018-12-26,0.03,1,1173599
Jessica,164,2019-07-01,1.73,11,1177497
Marina,76,2019-06-13,0.8,1,1177947
Ryan,116,2019-06-30,1.23,2,815977
Daniel,120,2019-06-24,1.27,1,1187935
Lady Jay,82,2019-05-18,0.87,1,1191142
Gordon,13,2019-05-26,0.15,1,1192424
Raven,59,2019-06-24,0.64,1,1192610
Marceline,63,2019-06-26,1.87,1,1194377
Tim,52,2018-08-14,0.55,1,1190088
Carol,278,2019-07-03,2.95,3,1097545
Derrick,1,2012-01-02,0.01,1,507304
Civan,35,2019-06-09,0.4,1,1203500
Mark,109,2015-10-02,1.15,1,1207399
Roberto,1,2013-07-09,0.01,1,1184442
Dee,305,2019-06-27,3.24,1,1217241
Selma,102,2019-06-18,1.52,1,763420
Michael,83,2019-05-31,0.88,1,1220414
Melody,19,2018-07-31,0.25,1,1012895
Tiffany,61,2019-05-18,0.65,1,1223568
William,89,2019-06-30,0.94,1,902054
John,65,2017-07-31,0.74,3,1229984
Bertie,40,2019-06-16,0.44,1,1234405
Dan,136,2019-06-19,1.45,1,1236070
Blue,100,2018-05-28,1.06,1,1236817
Triny,125,2019-07-06,1.36,3,1240820
Nick And Noémie,40,2019-04-14,0.5,1,4166168
Juvie,0,,,1,1151987
Liz,139,2019-04-28,1.59,4,1146958
Jacqueline,0,,,1,1243192
Ashley & Nir,2,2014-10-06,0.03,1,65064
Nancy,49,2019-06-26,0.53,1,1256874
Austin,8,2018-05-18,0.11,1,1257309
Jay,0,,,1,1257760
Li,124,2019-05-25,1.32,1,136962
Todd,5,2018-12-19,0.12,1,1258363
Joseph,147,2019-06-30,1.57,1,1263176
Ruari,8,2019-01-03,0.33,1,1264655
Mike,37,2019-01-02,0.39,1,1269455
Lauryn,24,2019-01-01,0.29,1,1273825
Alon,5,2017-07-09,0.05,1,1276497
Andy,242,2019-04-01,2.59,1,288711
Baron,229,2019-06-21,2.45,1,714200
Victor,108,2019-06-19,1.36,2,1260921
Al-,181,2019-06-05,1.92,1,1288460
Jaidev,34,2019-07-01,0.39,1,825022
Shelley,5,2016-10-02,0.05,1,283604
Jerry,5,2015-08-17,0.06,1,1292250
Rafael,60,2019-06-25,0.64,2,3647
Jens,238,2019-06-23,2.59,1,936630
West Village,131,2019-06-24,1.4,4,605463
Andy,6,2017-06-28,0.16,1,1306587
Karina,4,2015-07-03,0.06,1,1307773
Ben,125,2019-07-07,3.04,1,1311398
Kyle,0,,,1,945499
Christy,49,2014-12-03,0.58,1,1311870
Yvette,11,2017-09-25,0.12,2,1313306
Rhona,107,2019-05-23,1.15,1,1314834
Anne,241,2019-06-29,2.6,1,1278802
Carol,176,2019-06-29,1.89,1,1317343
Chris,49,2018-08-09,0.53,2,1325961
Cynthia,13,2018-09-01,0.14,1,552343
Olia,2,2015-06-25,0.04,1,1331493
G,16,2019-06-28,0.23,1,1331850
Cici,72,2018-11-26,0.77,1,1332108
Sharma,56,2019-07-06,0.66,3,1267021
Stephanie,2,2014-01-13,0.03,1,1336542
Roger,178,2019-06-24,2.69,1,1340007
Bree,30,2019-05-31,0.8,1,1302029
Antonio,190,2019-06-23,2.04,1,1343630
Claudia,25,2019-06-30,0.27,2,506779
Cristina,81,2019-05-31,0.98,2,1346437
Janine,7,2019-06-22,0.08,1,1347034
Pamela,216,2019-07-01,2.31,1,1348494
Jaime,31,2019-01-28,0.33,1,315401
Adolfo,53,2017-08-12,0.57,2,1123923
Daniel,247,2019-06-21,2.65,2,1356046
S,233,2019-04-10,2.5,1,1358312
Annie,135,2019-06-24,1.45,1,1354758
Kim,20,2015-12-30,0.23,1,1233267
Chad,46,2019-06-02,0.5,1,436599
Andrea,10,2014-10-26,0.12,1,1359611
Adrienne,143,2018-06-30,2.83,1,1360043
Marina,21,2019-05-22,0.26,4,1360198
Ro,314,2019-07-01,3.45,2,480943
Christine,18,2019-06-18,0.25,1,696482
Keiko,11,2015-05-27,0.12,1,1370358
Liah,51,2019-06-02,0.55,1,568103
Lindsey,20,2017-04-01,0.33,1,1372786
Nadya,8,2017-12-30,0.12,1,1359519
Lauren,59,2019-06-06,0.63,1,1376385
Wade,54,2019-06-24,0.62,1,1376778
Juliana,10,2018-12-31,0.46,1,535128
Marisa And Colin,110,2019-06-02,1.2,1,1380060
Dominique,69,2019-01-01,0.91,2,1020539
Nicole,1,2019-01-27,0.18,1,1381171
Shaun,24,2015-08-19,0.26,1,1382749
Joanne,95,2019-01-02,1.02,2,1384111
C,129,2019-04-28,1.41,1,1384559
Allan,171,2019-03-31,1.84,2,305972
Leo,20,2019-06-09,0.59,1,21188
Akiko,8,2015-01-08,0.09,1,1390947
Sandra,11,2015-11-01,0.12,1,1392440
Jen,5,2018-07-05,0.09,1,1394190
Jill,0,,,1,1394719
