neighbourhood,neighbourhood_group,listing_id
Battery Park City,Manhattan,470498
Civic Center,Manhattan,483485
East Elmhurst,Queens,495249
New Springville,Staten Island,503460
Morris Heights,Bronx,506575
Arverne,Queens,581542
Cambria Heights,Queens,602250
Tottenville,Staten Island,639199
Mariners Harbor,Staten Island,681805
Concord,Staten Island,705749
Borough Park,Brooklyn,710015
Bayside,Queens,765563
Downtown Brooklyn,Brooklyn,765569
Port Morris,Bronx,781486
Fieldston,Bronx,791452
Kew Gardens,Queens,808618
Midwood,Brooklyn,830840
College Point,Queens,836720
Mount Eden,Bronx,858695
City Island,Bronx,958444
Glendale,Queens,1025001
Port Richmond,Staten Island,1059531
Red Hook,Brooklyn,1073832
Richmond Hill,Queens,1090732
Bellerose,Queens,1452786
Maspeth,Queens,1586454
Williamsbridge,Bronx,1693028
Soundview,Bronx,1739847
Woodhaven,Queens,1767037
Woodrow,Staten Island,1798271
Co-op City,Bronx,1798500
Stuyvesant Town,Manhattan,1839818
Parkchester,Bronx,1934765
North Riverdale,Bronx,2008227
Dyker Heights,Brooklyn,2036105
Bronxdale,Bronx,2062630
Sea Gate,Brooklyn,2261367
Riverdale,Bronx,2296024
Kew Gardens Hills,Queens,2308802
Bay Terrace,Queens,2467377
Norwood,Bronx,2545184
Claremont Village,Bronx,2669366
Whitestone,Queens,2698984
Fordham,Bronx,2772111
Bayswater,Queens,2943724
Navy Yard,Brooklyn,3079125
Brownsville,Brooklyn,3404668
Eltingville,Staten Island,3465651
Fresh Meadows,Queens,3523001
Mount Hope,Bronx,3769052
Lighthouse Hill,Staten Island,4033422
Springfield Gardens,Queens,4081926
Howard Beach,Queens,4262707
Belle Harbor,Queens,4387007
Jamaica Estates,Queens,4430808
Van Nest,Bronx,4472904
Morris Park,Bronx,4967098
West Brighton,Staten Island,4974843
Far Rockaway,Queens,5188840
South Ozone Park,Queens,5287733
Tremont,Bronx,5288228
Corona,Queens,5370580
Great Kills,Staten Island,5891777
Manhattan Beach,Brooklyn,6179073
Marble Hill,Manhattan,6376345
Dongan Hills,Staten Island,6739145
Castleton Corners,Staten Island,7144807
East Morrisania,Bronx,7342107
Hunts Point,Bronx,7501694
Neponsit,Queens,7679236
Pelham Bay,Bronx,7771351
Randall Manor,Staten Island,7856476
Throgs Neck,Bronx,8239650
Todt Hill,Staten Island,8253376
West Farms,Bronx,8265482
Silver Lake,Staten Island,8343222
Morrisania,Bronx,8673141
Laurelton,Queens,8684074
Grymes Hill,Staten Island,9045427
Holliswood,Queens,9127163
Pelham Gardens,Bronx,9260415
Belmont,Bronx,9453245
Rosedale,Queens,9759592
Edgemere,Queens,10338839
New Brighton,Staten Island,10413576
Midland Beach,Staten Island,10600032
Baychester,Bronx,11020169
Melrose,Bronx,11656750
Bergen Beach,Brooklyn,12366762
Richmondtown,Staten Island,12966225
Howland Hook,Staten Island,13673242
Schuylerville,Bronx,13720750
Coney Island,Brooklyn,13841569
New Dorp Beach,Staten Island,14024708
Prince's Bay,Staten Island,14506086
South Beach,Staten Island,14588464
Bath Beach,Brooklyn,15191179
Jamaica Hills,Queens,15635287
Oakwood,Staten Island,15949915
Castle Hill,Bronx,16162933
Hollis,Queens,16423772
Douglaston,Queens,17358323
Huguenot,Staten Island,17554298
Olinville,Bronx,17664413
Edenwald,Bronx,17975664
Grant City,Staten Island,18274492
Westerleigh,Staten Island,18993379
"Bay Terrace, Staten Island",Staten Island,20148331
Westchester Square,Bronx,20171599
Little Neck,Queens,20227428
Fort Wadsworth,Staten Island,20305160
Rosebank,Staten Island,20676841
Unionport,Bronx,20685952
Mill Basin,Brooklyn,20915427
Arden Heights,Staten Island,22730139
Bull's Head,Staten Island,22856025
New Dorp,Staten Island,23597323
Rossville,Staten Island,26258351
Breezy Point,Queens,26703677
Willowbrook,Staten Island,27088022
